Entity	Director	Year	Alias	URL
Shadow Puppets (sneak Preview)	Adam Bizanski	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/shadowpuppets.html
Shtisel	Alon Zingman	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/Shtisel.html
Siren	Jonah Bleicher	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/siren.html
The Sturgeon Queens	Julie Cohen	2014		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/thesturgeonqueens.html
Sukkah City	Jason Hutt	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/sukkahcity.html
Taxman	Avi Nesher	1999		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/taxman.html
Turn Left At The End Of The World	Avi Nesher	2004		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/turnleftattheendoftheworld.html
When Jews Were Funny	Alan Zweig	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/whenjewswerefunny.html
The Women Pioneers	Michal Aviad	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/thewomenpioneers.html
The Wonders (opening Night)	Avi Nesher	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/thewonders.html
The Yellow Ticket (silent Screening With Live Accompaniment)	Victor Janson and Eugen Illès	1918		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/yellowticket.html
SWIM LITTLE FISH SWIM	Ruben Amar and Lola Bessis	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/surprisescreening.html
