note	team	type	player	type_cd	team_id	player_id	name_sort	from_team	trans_date	orig_asset	final_asset	from_team_id	resolution_cd	trans_date_cd	transaction_id	conditional_sw	effective_date	orig_asset_type	resolution_date	final_asset_type	name_display_last_first	name_display_first_last
Milwaukee Brewers traded LF Khris Davis to Oakland Athletics for RHP Bubba Derby and C Jacob Nottingham.	Milwaukee Brewers	Trade	Jacob Nottingham	TR	158	641924	NOTTINGHAM, JACOB	Oakland Athletics	2016-02-12T00:00:00	Player		133		D	254781	N	2016-02-12T00:00:00	PL			Nottingham, Jacob	Jacob Nottingham
Milwaukee Brewers traded LF Khris Davis to Oakland Athletics for RHP Bubba Derby and C Jacob Nottingham.	Oakland Athletics	Trade	Khris Davis	TR	133	501981	DAVIS, KHRIS	Milwaukee Brewers	2016-02-12T00:00:00	Player		158		D	254781	N	2016-02-12T00:00:00	PL			Davis, Khris	Khris Davis
Chicago Cubs claimed LHP C.J. Riefenhauser off waivers from Baltimore Orioles.	Chicago Cubs	Claimed Off Waivers	C.J. Riefenhauser	CLW	112	592677	RIEFENHAUSER, C.J.	Baltimore Orioles	2016-02-12T00:00:00	Player		110		D	254773	N	2016-02-12T00:00:00	PL			Riefenhauser, C.J.	C.J. Riefenhauser
Cleveland Indians signed free agent RHP Tommy Hunter.	Cleveland Indians	Signed as Free Agent	Tommy Hunter	SFA	114	488984	HUNTER, TOMMY		2016-02-12T00:00:00	Player			FIN	D	254780		2016-02-12T00:00:00	PL	2016-02-12T00:00:00		Hunter, Tommy	Tommy Hunter
San Diego Padres signed free agent P Dauris Valdez to a minor league contract.	San Diego Padres	Signed as Free Agent	Dauris Valdez	SFA	135	667378	VALDEZ, DAURIS		2016-02-12T00:00:00	Player			FIN	D	254863		2016-02-12T00:00:00	PL	2016-02-12T00:00:00		Valdez, Dauris	Dauris Valdez
Pittsburgh Pirates signed free agent RHP Jose Delgado to a minor league contract.	Pittsburgh Pirates	Signed as Free Agent	Jose Delgado	SFA	134	667387	DELGADO, JOSE		2016-02-12T00:00:00	Player			FIN	D	254946		2016-02-12T00:00:00	PL	2016-02-12T00:00:00		Delgado, Jose	Jose Delgado
Milwaukee Brewers signed free agent RHP Blaine Boyer to a minor league contract and invited him to spring training.	Milwaukee Brewers	Signed as Free Agent	Blaine Boyer	SFA	158	430641	BOYER, BLAINE		2016-02-12T00:00:00	Player			FIN	D	254954		2016-02-12T00:00:00	PL	2016-02-12T00:00:00		Boyer, Blaine	Blaine Boyer
Cleveland Indians signed free agent C Guillermo Quiroz to a minor league contract and invited him to spring training.	Cleveland Indians	Signed as Free Agent	Guillermo Quiroz	SFA	114	425565	QUIROZ, GUILLERMO		2016-02-12T00:00:00	Player			FIN	D	254777		2016-02-04T00:00:00	PL	2016-02-04T00:00:00		Quiroz, Guillermo	Guillermo Quiroz
Pittsburgh Pirates signed free agent RHP Sergio Cubilete to a minor league contract.	Pittsburgh Pirates	Signed as Free Agent	Sergio Cubilete	SFA	134	667386	CUBILETE, SERGIO		2016-02-12T00:00:00	Player			FIN	D	254945		2016-02-12T00:00:00	PL	2016-02-12T00:00:00		Cubilete, Sergio	Sergio Cubilete
Arizona Diamondbacks signed free agent P Merfy Andrew to a minor league contract.	Arizona Diamondbacks	Signed as Free Agent	Merfy Andrew	SFA	109	667385	ANDREW, MERFY		2016-02-12T00:00:00	Player			FIN	D	254944		2016-02-12T00:00:00	PL	2016-02-12T00:00:00		Andrew, Merfy	Merfy Andrew
