Entity,Url,Director,Year,Alias,IMDB_OLD,IMDB URL,genre,Runtime
Intrinsic Moral Evil,http://slgff.strangertickets.com/films/28226750/intrinsic-moral-evil,Harm Weistra,2013,,tt3305384,tt3305384,,11
Winning Dad,http://slgff.strangertickets.com/films/28226620/winning-dad,Arthur Allen,2014,,,tt3030580,,81
International Male,http://slgff.strangertickets.com/films/28226772/international-male,Heath Daniels,2015,,,tt4132320,,7
Skin Deep,http://slgff.strangertickets.com/films/28226616/skin-deep,Jonney Leahy,2014,,,,,72
Actresses,http://slgff.strangertickets.com/films/28226684/actresses,Jeremy Hersh,2015,,tt4214952,,,12
The Glamour & The Squalor,http://slgff.strangertickets.com/films/28226555/glamour-the-squalor-the,Marq Evans,2015,,,tt2817294,,80
Drag Becomes Him,http://slgff.strangertickets.com/films/28226548/drag-becomes-him,Alex Berry,2015,,tt3593124,tt3593124,,83
Fragments Of Ava,http://slgff.strangertickets.com/films/28226761/fragments-of-ava,Zara Zandieh,2012,,tt5219698,,,13
A Life Alone,http://slgff.strangertickets.com/films/28226670/a-life-alone,Adam Osgood,2012,,,,,2
50%,http://slgff.strangertickets.com/films/28226637/50,"Alexandra Herstik, Elizabeth R. Houck",2015,,,,,5
My Life In Dance,http://slgff.strangertickets.com/films/28226796/my-life-in-dance,Amir Jaffer,2015,,tt4911274,,,13
Mctucky Fried High,http://slgff.strangertickets.com/films/28226781/mctucky-fried-high,Robert Carnilius,2015,,tt4328490,tt4328490,,5
Seed Money: The Chuck Holmes Story,http://slgff.strangertickets.com/films/28226605/seed-money-the-chuck-holmes-story,Michael Stabile,2015,,tt1737724,tt1737724,,72
The Cream,http://slgff.strangertickets.com/films/28226688/cream-the,Jean-Marie Villeneuve,2014,,,,,8
All About E,http://slgff.strangertickets.com/films/28226558/all-about-e,Louise Wadley,2015,,,tt3532686,,93
Hustler White,http://slgff.strangertickets.com/films/28226600/hustler-white,"Bruce LaBruce, Rick Castro",1996,,tt0116587,,,80
Reel Queer Youth Behind The Scenes,http://slgff.strangertickets.com/films/28226838/reel-queer-youth-behind-the-scenes,Danny Tayara,2015,,,tt4439114,,3
Bullethead,http://slgff.strangertickets.com/films/28226671/bullethead,Ya'Shalan Nelson,2014,,tt4247142,,,2
Female Masculinity Appreciation Society,http://slgff.strangertickets.com/films/28226689/female-masculinity-appreciation-society,"Jackie Nunns, Angie West",2014,,tt4326534,tt4326534,,12
Nineteen,http://slgff.strangertickets.com/films/28226791/nineteen,Madeline Kelly,2014,,,,,11
Tab Hunter Confidential,http://slgff.strangertickets.com/films/28226598/tab-hunter-confidential,Jeffrey Schwarz,2015,,tt1533089,tt1533089,,90
Naz & Maalik,http://slgff.strangertickets.com/films/28226585/naz-maalik,Jay Dockendorf,2014,,,tt3385334,,85
Spare Parts,http://slgff.strangertickets.com/films/28226833/spare-parts,Yasmin Al-Manaseer,2015,,tt4900162,,,7
Pop-up Porno: M4m,http://slgff.strangertickets.com/films/28226840/pop-up-porno-m4m,Stephen Dunn,2014,,,,,4
Weird Is Who's Not Weird,http://slgff.strangertickets.com/films/28226866/weird-is-whos-not-weird,Cristopher Carballo Lerma,2015,,,,,16
Out To Win,http://slgff.strangertickets.com/films/28226567/out-to-win,Malcolm Ingram,2015,,tt3710096,tt3710096,,99
Paper Thin,http://slgff.strangertickets.com/films/28226818/paper-thin,Nataly Lebouleux,2014,,tt4254688,,,20
Brasxploitation,http://slgff.strangertickets.com/films/28226679/brasxploitation,Edem Ortegal,2014,,,,,22
Camouflage,http://slgff.strangertickets.com/films/28226717/camouflage,"Stephan Kämpf, Andreas Kessler",2014,,tt3588216,,,8
Gmv,http://slgff.strangertickets.com/films/28226755/gmv,"Tran Tonnu, Flora Peterson, Jessica Schwarz-Torres, Jada Calhoun",2015,,,,,5
"09:55-11:05, Ingrid Ekman, Bergsgatan 4b",http://slgff.strangertickets.com/films/28226633/0955-1105-ingrid-ekman-bergsgatan-4b,"Cristine Berglund, Sophie Vukovic",2014,,,,,15
Middle Man,http://slgff.strangertickets.com/films/28226773/middle-man,Charlie Francis,2014,,tt3550298,tt3550298,,5
