Entity,Url,IMDB,Director,Alias,genre,Runtime,Year
Skin Deep,http://slgff.strangertickets.com/films/28226616/skin-deep,,Jonney Leahy,,,72,2014
Actresses,http://slgff.strangertickets.com/films/28226684/actresses,tt4214952,Jeremy Hersh,,,12,2015
The Glamour & The Squalor,http://slgff.strangertickets.com/films/28226555/glamour-the-squalor-the,,Marq Evans,,,80,2015
Drag Becomes Him,http://slgff.strangertickets.com/films/28226548/drag-becomes-him,tt3593124,Alex Berry,,,83,2015
Fragments Of Ava,http://slgff.strangertickets.com/films/28226761/fragments-of-ava,tt5219698,Zara Zandieh,,,13,2012
A Life Alone,http://slgff.strangertickets.com/films/28226670/a-life-alone,,Adam Osgood,,,2,2012
50%,http://slgff.strangertickets.com/films/28226637/50,,"Alexandra Herstik, Elizabeth R. Houck",,,5,2015
My Life In Dance,http://slgff.strangertickets.com/films/28226796/my-life-in-dance,tt4911274,Amir Jaffer,,,13,2015
Mctucky Fried High,http://slgff.strangertickets.com/films/28226781/mctucky-fried-high,tt4328490,Robert Carnilius,,,5,2015
Seed Money: The Chuck Holmes Story,http://slgff.strangertickets.com/films/28226605/seed-money-the-chuck-holmes-story,tt1737724,Michael Stabile,,,72,2015
The Cream,http://slgff.strangertickets.com/films/28226688/cream-the,,Jean-Marie Villeneuve,,,8,2014
All About E,http://slgff.strangertickets.com/films/28226558/all-about-e,,Louise Wadley,,,93,2015
Hustler White,http://slgff.strangertickets.com/films/28226600/hustler-white,tt0116587,"Bruce LaBruce, Rick Castro",,,80,1996
Reel Queer Youth Behind The Scenes,http://slgff.strangertickets.com/films/28226838/reel-queer-youth-behind-the-scenes,,Danny Tayara,,,3,2015
Bullethead,http://slgff.strangertickets.com/films/28226671/bullethead,tt4247142,Ya'Shalan Nelson,,,2,2014
Female Masculinity Appreciation Society,http://slgff.strangertickets.com/films/28226689/female-masculinity-appreciation-society,tt4326534,"Jackie Nunns, Angie West",,,12,2014
Nineteen,http://slgff.strangertickets.com/films/28226791/nineteen,,Madeline Kelly,,,11,2014
Tab Hunter Confidential,http://slgff.strangertickets.com/films/28226598/tab-hunter-confidential,tt1533089,Jeffrey Schwarz,,,90,2015
Naz & Maalik,http://slgff.strangertickets.com/films/28226585/naz-maalik,,Jay Dockendorf,,,85,2014
Spare Parts,http://slgff.strangertickets.com/films/28226833/spare-parts,tt4900162,Yasmin Al-Manaseer,,,7,2015
Pop-up Porno: M4m,http://slgff.strangertickets.com/films/28226840/pop-up-porno-m4m,,Stephen Dunn,,,4,2014
Weird Is Who's Not Weird,http://slgff.strangertickets.com/films/28226866/weird-is-whos-not-weird,,Cristopher Carballo Lerma,,,16,2015
Out To Win,http://slgff.strangertickets.com/films/28226567/out-to-win,tt3710096,Malcolm Ingram,,,99,2015
Paper Thin,http://slgff.strangertickets.com/films/28226818/paper-thin,tt4254688,Nataly Lebouleux,,,20,2014
Brasxploitation,http://slgff.strangertickets.com/films/28226679/brasxploitation,,Edem Ortegal,,,22,2014
Camouflage,http://slgff.strangertickets.com/films/28226717/camouflage,tt3588216,"Stephan Kämpf, Andreas Kessler",,,8,2014
Gmv,http://slgff.strangertickets.com/films/28226755/gmv,,"Tran Tonnu, Flora Peterson, Jessica Schwarz-Torres, Jada Calhoun",,,5,2015
"09:55-11:05, Ingrid Ekman, Bergsgatan 4b",http://slgff.strangertickets.com/films/28226633/0955-1105-ingrid-ekman-bergsgatan-4b,,"Cristine Berglund, Sophie Vukovic",,,15,2014
Middle Man,http://slgff.strangertickets.com/films/28226773/middle-man,tt3550298,Charlie Francis,,,5,2014
Fawns,http://slgff.strangertickets.com/films/28226716/fawns,tt5101268,Thanasis Tsimpinis,,,4,2014
