Entity,Director,url,Year,Alias,IMDB,IMDB URL,genre,Runtime
Sylvia O'stayformore's Night With Jacqueline,"Sylvia O'Stayformore, Michael Anderson, Shane Wahlund",http://slgff.strangertickets.com/films/28226613/sylvia-ostayformores-night-with-jacqueline,2015,,,,,120
The Pearl Of Africa,Jonny von Wallström,http://slgff.strangertickets.com/films/28226823/pearl-of-africa-the,2015,,tt5128790,,,30
Intrinsic Moral Evil,Harm Weistra,http://slgff.strangertickets.com/films/28226750/intrinsic-moral-evil,2013,,tt3305384,http://www.imdb.com/title/tt3305384/,,11
Winning Dad,Arthur Allen,http://slgff.strangertickets.com/films/28226620/winning-dad,2014,,,http://www.imdb.com/title/tt3030580/,,81
International Male,Heath Daniels,http://slgff.strangertickets.com/films/28226772/international-male,2015,,,http://www.imdb.com/title/tt4132320/,,7
Skin Deep,Jonney Leahy,http://slgff.strangertickets.com/films/28226616/skin-deep,2014,,,,,72
Actresses,Jeremy Hersh,http://slgff.strangertickets.com/films/28226684/actresses,2015,,tt4214952,http://www.imdb.com/title/tt4214952/,,12
The Glamour & The Squalor,Marq Evans,http://slgff.strangertickets.com/films/28226555/glamour-the-squalor-the,2015,,,,,80
Drag Becomes Him,Alex Berry,http://slgff.strangertickets.com/films/28226548/drag-becomes-him,2015,,tt3593124,http://www.imdb.com/title/tt3593124/,,83
Fragments Of Ava,Zara Zandieh,http://slgff.strangertickets.com/films/28226761/fragments-of-ava,2012,,tt5219698,,,13
A Life Alone,Adam Osgood,http://slgff.strangertickets.com/films/28226670/a-life-alone,2012,,,,,2
50%,"Alexandra Herstik, Elizabeth R. Houck",http://slgff.strangertickets.com/films/28226637/50,2015,,,,,5
My Life In Dance,Amir Jaffer,http://slgff.strangertickets.com/films/28226796/my-life-in-dance,2015,,tt4911274,,,13
Mctucky Fried High,Robert Carnilius,http://slgff.strangertickets.com/films/28226781/mctucky-fried-high,2015,,tt4328490,,,5
Seed Money: The Chuck Holmes Story,Michael Stabile,http://slgff.strangertickets.com/films/28226605/seed-money-the-chuck-holmes-story,2015,,tt1737724,http://www.imdb.com/title/tt1737724/,,72
The Cream,Jean-Marie Villeneuve,http://slgff.strangertickets.com/films/28226688/cream-the,2014,,,,,8
